cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,1,6.4792,2.18995,2.95861 (0.811725 + 2.13794)
sc_chacha8_neon,0.5,2,7.1854,2.43011,2.95682 (0.804385 + 2.13272)
sc_chacha8_neon,0.5,3,7.05865,2.39309,2.9496 (0.79267 + 2.12952)
sc_chacha8_neon+sc_freestyle_fast,0.875,1,24.743,2.72482,9.0806 (0.927145 + 8.1369)
sc_chacha8_neon+sc_freestyle_fast,1.25,2,24.7704,2.73921,9.0429 (0.92042 + 8.1356)
sc_chacha8_neon+sc_freestyle_fast,1.625,3,25.014,2.76616,9.04285 (0.91868 + 8.14375)
sc_freestyle_fast+sc_chacha8_neon,0.875,1,13.3578,2.64616,5.048 (2.88262 + 2.17717)
sc_freestyle_fast+sc_chacha8_neon,1.25,2,14.009,2.74184,5.10935 (2.90748 + 2.19782)
sc_freestyle_fast+sc_chacha8_neon,1.625,3,13.4894,2.65956,5.07205 (2.89414 + 2.1857)
sc_freestyle_fast,2.0,1,29.8552,2.75758,10.8266 (2.75224 + 8.0839)
sc_freestyle_fast,2.0,2,3E+1,2.77152,10.8244 (2.75619 + 8.07195)
sc_freestyle_fast,2.0,3,30.1092,2.77167,10.8632 (2.7781 + 8.07785)
