cipher,security,energy,power,duration
sc_chacha8_neon,0.5,6.453,0.777671,8.29785 (2.03394 + 6.52435)
sc_chacha8_neon,0.5,6.47355,0.769859,8.40875 (2.09924 + 6.4251)
sc_chacha8_neon,0.5,7.0108,0.778887,9.00105 (2.10629 + 6.6728)
sc_chacha8_neon+sc_freestyle_fast,0.875,44.8594,2.22191,20.1896 (2.56092 + 17.702)
sc_chacha8_neon+sc_freestyle_fast,1.25,45.1712,2.22876,20.2674 (2.63643 + 17.6442)
sc_chacha8_neon+sc_freestyle_fast,1.625,45.1556,2.22895,20.2587 (2.59114 + 17.6772)
sc_freestyle_fast+sc_chacha8_neon,0.875,52.3345,2.00686,26.0778 (4.25426 + 21.7972)
sc_freestyle_fast+sc_chacha8_neon,1.25,51.4235,1.96653,26.1494 (4.24468 + 21.8633)
sc_freestyle_fast+sc_chacha8_neon,1.625,51.771,1.97640,26.1946 (4.26066 + 21.9218)
sc_freestyle_fast,2.0,37.1492,2.27212,16.35 (4.00274 + 12.3643)
sc_freestyle_fast,2.0,37.5502,2.30084,16.3202 (3.99746 + 12.3362)
sc_freestyle_fast,2.0,37.087,2.26488,16.3748 (3.98614 + 12.3932)
