cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,4,0.0,0E+5,0.0
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.0766687,0.622804,0.0756363
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.0725339,0.606838,0.0789887
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.0599448,0.438337,0.0917888
sc_chacha20_neon,1.5,4,0.0,0E+5,0.00494297
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.148330,0.637251,0.164449
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.154125,0.719371,0.176805
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.167117,0.734813,0.181810
sc_freestyle_fast,2.0,4,0.0953513,0.765326,0.0803825
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.268935,0.636549,0.352764
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.279112,0.672406,0.358755
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.265786,0.630595,0.359698
sc_freestyle_balanced,2.5,4,0.217386,0.748421,0.235904
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,1,0.904655,0.968799
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.862414,0.793733,0.982310
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.923918,0.861767,1
sc_freestyle_secure,3.0,4,0.791890,1,0.706053
