cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,4,0.00,0.0,0.00
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.00639183,0.229388,0.00899145
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.00755468,0.259577,0.00968916
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.00603577,0.202551,0.0103550
sc_chacha20_neon,1.5,4,0.000508872,0.0248037,0.000874084
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0421071,0.822983,0.0361970
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0613593,0.741293,0.0658449
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0831128,0.829271,0.0844384
sc_freestyle_fast,2.0,4,0.0830193,0.879480,0.0795581
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.129471,0.861088,0.134607
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.160885,0.795230,0.183258
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.209289,0.850376,0.228797
sc_freestyle_balanced,2.5,4,0.254379,0.898754,0.267858
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.453404,0.951295,0.465253
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.639101,0.970370,0.650512
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.812397,0.954576,0.842521
sc_freestyle_secure,3.0,4,1,1,1
