cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,0,0.00617994,0.216001,0.00713607
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.00612320,0.129804,0.00745096
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.00327073,0.670388,0.00225479
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.00,0,0.000
sc_chacha20_neon,1.5,0,0.00846254,0.699257,0.00774446
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0267843,0.800735,0.0264602
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0286540,0.862122,0.0278513
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0411148,0.945172,0.0396462
sc_freestyle_fast,2.0,0,0.0824805,0.855798,0.0832481
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.129944,0.923862,0.129653
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.116118,0.949349,0.114898
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.147507,0.969174,0.145651
sc_freestyle_balanced,2.5,0,0.266154,0.910758,0.268195
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.450255,0.932098,0.452347
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.422957,0.966115,0.421149
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.550469,1,0.543961
sc_freestyle_secure,3.0,0,1,0.958365,1
