cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,0,0.306061,0.506545,0.196975
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.508746,0.569866,0.537864
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.148414,0.231862,0.239372
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.225361,0.392935,0.160729
sc_chacha20_neon,1.5,0,0.221343,0.360032,0.209471
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.491662,0.763966,0.243468
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.392272,0.450967,0.510806
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.698351,0.647090,0.758168
sc_freestyle_fast,2.0,0,0.0506378,0.0913089,0.138333
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.222237,0.466901,0.0454825
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0E+5,0E+11,0
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.172966,0.349539,0.0677585
sc_freestyle_balanced,2.5,0,0.195304,0.315218,0.215138
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,1,1,0.664579
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.216634,0.217021,0.662467
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.415474,0.437840,0.604223
sc_freestyle_secure,3.0,0,0.933351,0.726962,1
