cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,0,0.0986060,0.0898533,0.482206
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.535115,0.382076,0.752144
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.427754,0.532888,0.219777
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.205009,0.307780,0.0981183
sc_chacha20_neon,1.5,0,0.415956,0.422837,0.380968
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.208250,0.197225,0.445242
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.322387,0.270361,0.566824
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.624126,0.371751,1
sc_freestyle_fast,2.0,0,0.0203671,0.0286912,0.137106
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.131733,0.174879,0.175757
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.184616,0.262834,0.130458
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.208478,0.375023,0
sc_freestyle_balanced,2.5,0,0.172824,0.167396,0.424338
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0E+5,0E+11,0.362139
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,1,1,0.395463
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.551801,0.531873,0.428823
sc_freestyle_secure,3.0,0,0.550481,0.380120,0.794556
