cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,0,0.00,0.0,0.00622848
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.00483148,0.187327,0.0127707
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.00376081,0.355923,0.00316762
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.00139546,0.259740,0.00
sc_chacha20_neon,1.5,0,0.00140475,0.0639229,0.00838499
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0209876,0.794509,0.0176980
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0356014,0.899274,0.0310032
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0478518,0.883474,0.0452852
sc_freestyle_fast,2.0,0,0.0780066,0.830268,0.0835730
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.0842456,0.906990,0.0838250
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.112342,0.913708,0.113747
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.148244,0.959964,0.146190
sc_freestyle_balanced,2.5,0,0.259545,0.647616,0.362583
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.302035,0.985112,0.299747
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.422876,0.711211,0.553098
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,0.551781,1,0.547530
sc_freestyle_secure,3.0,0,1,0.998963,1
