cipher,security,energy,power,duration
sc_chacha8_neon,0.5,0.000000,0.0,2.30539 (0.606525 + 1.70142)
sc_chacha8_neon,0.5,0.000000,0.0,2.32634 (0.60812 + 1.71801)
sc_chacha8_neon,0.5,0.000000,0.0,2.33099 (0.612385 + 1.7172)
sc_chacha8_neon+sc_freestyle_fast,0.875,0.000000,0.000,15.135 (0.902155 + 14.3028)
sc_chacha8_neon+sc_freestyle_fast,1.25,0.000000,0.00,15.1798 (0.89359 + 14.2844)
sc_chacha8_neon+sc_freestyle_fast,1.625,0.000000,0.00,15.0246 (0.877805 + 14.1799)
sc_freestyle_fast+sc_chacha8_neon,0.875,0.000000,0.00,18.4788 (3.2061 + 15.3223)
sc_freestyle_fast+sc_chacha8_neon,1.25,0.000000,0.00,18.8366 (3.36918 + 15.4828)
sc_freestyle_fast+sc_chacha8_neon,1.625,0.000000,0.00,18.6241 (3.24188 + 15.4014)
sc_freestyle_fast,2.0,0.000000,0.000,11.864 (2.96959 + 8.9043)
sc_freestyle_fast,2.0,0.000000,0.00,11.8656 (2.9746 + 8.94)
sc_freestyle_fast,2.0,0.000000,0.00,11.7164 (2.95476 + 8.7826)
