cipher,security,ratio,energy,power,duration
sc_chacha8_neon,0.5,4,0.00,0.0286749,0.0
sc_chacha8_neon+sc_chacha20_neon,0.75,1,0.00917346,0.210747,0.0112480
sc_chacha8_neon+sc_chacha20_neon,1.0,2,0.0116073,0.197631,0.0177533
sc_chacha8_neon+sc_chacha20_neon,1.25,3,0.00946664,0.258181,0.00881751
sc_chacha20_neon,1.5,4,0.000125766,0.0,0.00261221
sc_chacha20_neon+sc_freestyle_fast,1.625,1,0.0501577,0.473778,0.0637755
sc_chacha20_neon+sc_freestyle_fast,1.75,2,0.0772854,0.659760,0.0832106
sc_chacha20_neon+sc_freestyle_fast,1.875,3,0.0805810,0.685372,0.0848114
sc_freestyle_fast,2.0,4,0.0468129,0.721276,0.0388106
sc_freestyle_fast+sc_freestyle_balanced,2.125,1,0.194706,0.830956,0.201894
sc_freestyle_fast+sc_freestyle_balanced,2.25,2,0.275617,0.860971,0.286931
sc_freestyle_fast+sc_freestyle_balanced,2.375,3,0.258700,0.774494,0.289571
sc_freestyle_balanced,2.5,4,0.126031,0.657157,0.148191
sc_freestyle_balanced+sc_freestyle_secure,2.625,1,0.675145,0.902659,0.709820
sc_freestyle_balanced+sc_freestyle_secure,2.75,2,0.982920,0.994626,0.973963
sc_freestyle_balanced+sc_freestyle_secure,2.875,3,1,0.982570,1
sc_freestyle_secure,3.0,4,0.515329,1,0.497970
