cipher,security,energy,power,duration
sc_chacha8_neon,0.5,0.001364620424370076601221234501,0.1238883718592549246850184364,0.001562540526798624443451784709
sc_freestyle_secure,3.0,1,1,1
sc_chacha20_neon+sc_freestyle_fast,1.625,0.02029932757324587798247617449,0.8398519830674736109032946803,0.01942171642000565641155015620
sc_chacha20_neon+sc_freestyle_fast,1.75,0.01979870722087849180533472836,0.7789984195150630484354721755,0.01942023552844013280947884177
sc_chacha20_neon+sc_freestyle_fast,1.875,0.01968224322346149168503978966,0.7441715054373093151738027089,0.01960419922969826378294246750
sc_chacha20_neon+sc_freestyle_fast,1.625,0.01991758236780257960107697303,0.7748777539001473950195997912,0.01958452986870398921410436476
sc_chacha20_neon+sc_freestyle_fast,1.75,0.01972204732350735522767791409,0.7769193791829370602198028103,0.01935613952555031315767350689
sc_chacha20_neon+sc_freestyle_fast,1.875,0.01959660634427488873523497286,0.7195863900361865480987364091,0.01973288432041319429909755591
sc_chacha8_neon+sc_chacha20_neon,0.75,0.0005087155009462924275076183184,0.1937546574655979397357992036,0.0001678239295603205872851081752
sc_chacha8_neon+sc_chacha20_neon,1.0,0.0006974600266564255252314321399,0.3308719270074951971663533348,0
sc_chacha8_neon+sc_chacha20_neon,1.25,0.0007750766526896930843282596021,0.3581121759781109530511627845,0.00001872580524690398534556526022
sc_chacha8_neon+sc_chacha20_neon,0.75,0,0,0.00009047979326293285808275160199
sc_chacha8_neon+sc_chacha20_neon,1.0,0.001202464580064755358062635669,0.5017651739770529450286607125,0.0001327685421987380858564722804
sc_chacha8_neon+sc_chacha20_neon,1.25,0.00002035947584792368837118973086,0.006787541443704100778285710758,0.00009705924484062342961660865942
sc_chacha8_neon+sc_freestyle_fast,0.875,0.01950256346022690263368700988,0.7849851619171811260038116356,0.01904993855558965444330398594
sc_chacha8_neon+sc_freestyle_fast,1.25,0.01919794604723276953383068975,0.7429495274761184166297171505,0.01908853178842761877967890452
sc_chacha8_neon+sc_freestyle_fast,1.625,0.01983138095427914683814972420,0.009643351128419384496612113174,0.02852766447289468344428283422
sc_chacha8_neon+sc_freestyle_fast,0.875,0.01929445162172587056908535334,0.7576521271999559697110171529,0.01906404785806235487994690450
sc_chacha8_neon+sc_freestyle_fast,1.25,0.01928515492502920386054704337,0.7204018537934864656889294109,0.01938424179447637098085054795
sc_chacha8_neon+sc_freestyle_fast,1.625,0.01907708818484894564692235715,0.7264558844672330227051881150,0.01910251056573918895666940127
