cipher,security,energy,power,duration
sc_chacha8_neon,0.5,0.001099931941331767517770559766,0.08567018688472744112943574440,0
sc_freestyle_secure,3.0,1,0.9684429437029307755546776922,1
sc_chacha20_neon+sc_freestyle_fast,1.625,0.04933461735261457339596075528,0.7569271539500731893311168490,0.03462449769965953943900950506
sc_chacha20_neon+sc_freestyle_fast,1.75,0.04907857575047901374570389292,0.7487285887723335899595795184,0.03483174823452880770872849332
sc_chacha20_neon+sc_freestyle_fast,1.875,0.04936139654314416782829624337,0.6991519970275538441250211207,0.03845469606039435963972173358
sc_chacha8_neon+sc_chacha20_neon,0.75,0,0.0,0.004242598701006074200113612442
sc_chacha8_neon+sc_chacha20_neon,1.0,0.0002350045773322305908585635451,0.004041167390974110010514521530,0.004567359672695070367641908833
sc_chacha8_neon+sc_chacha20_neon,1.25,0.0003100576328373128142847163611,0.01352272541838707629933078176,0.003884257754811666147552209619
sc_chacha8_neon+sc_freestyle_fast,0.875,0.04855494655092365454859075578,0.7483678435288792729659506503,0.03422070201037229507126558595
sc_chacha8_neon+sc_freestyle_fast,1.25,0.04861418246212647389327027129,0.7501189895329912686200198056,0.03418255382511290324568789045
sc_chacha8_neon+sc_freestyle_fast,1.625,0.04756452808883187584737852471,0.7345520845285998155858519995,0.03388515204268096689422105727
sc_freestyle_balanced+sc_freestyle_secure,2.625,0.6144202571779253957903253646,0.9672759989095268204277353308,0.6043798933917184450798595782
sc_freestyle_balanced+sc_freestyle_secure,2.75,0.6183271616567310817825297561,0.9751063675645537456239316149,0.6049051631345332290432814226
sc_freestyle_balanced+sc_freestyle_secure,2.875,0.6291470073734526766216979459,1,0.6049287197396751358089352109
sc_freestyle_fast+sc_freestyle_balanced,2.125,0.1553176914108950295292674097,0.6598895887280466030930355488,0.1794187052574345310947532830
sc_freestyle_fast+sc_freestyle_balanced,2.25,0.1573914423565851112344016276,0.6731628337689127138374714470,0.1795424560304322922222216066
sc_freestyle_fast+sc_freestyle_balanced,2.375,0.1594616457746075881839691385,0.6875878575927750996779288643,0.1794401432145871951109637997
