cipher,security,energy,power,duration
sc_chacha8_neon,0.5,0.0007616371158124973512912915073,0.1316705560302058777745189115,0.0007812152066529457313770037143
sc_freestyle_secure,3.0,1,1,1
sc_chacha20_neon+sc_freestyle_fast,1.625,0.02052340540515660506758137965,0.8031689659111633767078627899,0.01986140360273718371838637266
sc_chacha20_neon+sc_freestyle_fast,1.75,0.02033749538542887433705891176,0.7933365212371015254000916071,0.01975346829399470955134974513
sc_chacha20_neon+sc_freestyle_fast,1.875,0.02076931065137457135722148519,0.09805010976795869028567596393,0.02866609442618873535888628003
sc_chacha8_neon+sc_chacha20_neon,0.75,0.00005336257623784641580444308500,0.02558267530380362770854798452,0.0001925159338557444568291160564
sc_chacha8_neon+sc_chacha20_neon,1.0,0.0005787867696369864697738290600,0.2833970497204996971626434596,0
sc_chacha8_neon+sc_chacha20_neon,1.25,0,0,0.0002122497021026938657585770518
sc_chacha8_neon+sc_freestyle_fast,0.875,0.02072475319836693465700242385,0.8539244272631238625316212152,0.01961178514266241876692304218
sc_chacha8_neon+sc_freestyle_fast,1.25,0.01998872241557231724825315445,0.8102639545405893930893884098,0.01922686268250289422565987241
sc_chacha8_neon+sc_freestyle_fast,1.625,0.02018849967842887373108722061,0.04888117656509925566815516218,0.02863414487399069144484341377
