cipher,security,energy,power,duration
sc_chacha8_neon,0.5,0.0007608161868109015040882600494,0,0.003346956347649022748185023468
sc_freestyle_secure,3.0,1,1,1
sc_chacha20_neon+sc_freestyle_fast,1.625,0.03305925466483145817528547459,0.5070776004776980141553651601,0.03158466775940793188945990095
sc_chacha20_neon+sc_freestyle_fast,1.75,0.03311095244418545926194066108,0.5251915908660792288276412636,0.03055705958643868757354854372
sc_chacha20_neon+sc_freestyle_fast,1.875,0.04207856331572412870779092157,0.6382607922749625573222667575,0.03613476054892442799631229689
sc_chacha8_neon+sc_chacha20_neon,0.75,0.0005918564106478236304713899646,0.03859567186833351777578140096,0.0005071745624404327346103462651
sc_chacha8_neon+sc_chacha20_neon,1.0,0,0.01418681640839917367023938874,0.0004844490327673306985885195675
sc_chacha8_neon+sc_chacha20_neon,1.25,0.0002994334607266194160121129557,0.03494784312067085775412925159,0
sc_chacha8_neon+sc_freestyle_fast,0.875,0.03297229103593451612137860027,0.5233571203806247706182675491,0.03046752622172302290507582345
sc_chacha8_neon+sc_freestyle_fast,1.25,0.03121032961198925919587479040,0.4906237666094759978538725838,0.02987667582731849708063868445
sc_chacha8_neon+sc_freestyle_fast,1.625,0.03184002182302971379327662435,0.5118781883042641824725360301,0.02951598788120627786236809960
sc_freestyle_balanced+sc_freestyle_secure,2.625,0.5843994901642618866869058347,0.9591727735770835075066059031,0.5901992626908583576584756073
sc_freestyle_balanced+sc_freestyle_secure,2.75,0.5749264001341011947131473517,0.9415501906661316463387898773,0.5871309200661353938964320049
sc_freestyle_balanced+sc_freestyle_secure,2.875,0.5996456306813039661576564887,0.9771092180778849113887130760,0.5990713247273130522205824598
sc_freestyle_fast+sc_freestyle_balanced,2.125,0.1537547459413514251531263930,0.7669168237090124333463904816,0.1623764138311471462747740548
sc_freestyle_fast+sc_freestyle_balanced,2.25,0.1533925939374911479109460007,0.7626057734686788941635394813,0.1625612013543518478034540679
sc_freestyle_fast+sc_freestyle_balanced,2.375,0.1532972954332965559592955607,0.7642737877478166570585158203,0.1622083666906460347407820101
