cipher,security,energy,power,duration
sc_chacha8_neon,0.5,0.0007303823125919596344087125938,0,0.001469970805379792631072179870
sc_freestyle_secure,3.0,1,0.9209491101846756682301602869,1
sc_chacha20_neon+sc_freestyle_fast,1.625,0.01973294509618626403438373514,0.7394871649536754908702273810,0.01949815091832020552284506127
sc_chacha20_neon+sc_freestyle_fast,1.75,0.01865361370768051940141543088,0.6384791299283457010939681624,0.01918653050694879380283178780
sc_chacha20_neon+sc_freestyle_fast,1.875,0.01978979056438704232799287343,0.5833032108548850311088954480,0.02092406307409947056610237825
sc_chacha8_neon+sc_chacha20_neon,0.75,0.00003199662839698481650710845682,0.1529615615622101019988480621,0.00004970944522667533089018043435
sc_chacha8_neon+sc_chacha20_neon,1.0,0,0.1526174118111297681707277284,0.000009459930489323579361726227131
sc_chacha8_neon+sc_chacha20_neon,1.25,0.0006059132845969493646038603011,0.4296070000766783725909910411,0
sc_chacha8_neon+sc_freestyle_fast,0.875,0.01912598744473285740079802795,0.7143001063657217928209876641,0.01906230309401345786836213158
sc_chacha8_neon+sc_freestyle_fast,1.25,0.01870171421513571568654385741,0.6629463068587435562080448624,0.01903283718964707828641778811
sc_chacha8_neon+sc_freestyle_fast,1.625,0.01918659456762957900583252216,0.7183359265058658504567980633,0.01909359421063508905107709638
sc_freestyle_balanced+sc_freestyle_secure,2.625,0.3146323897685348542477948562,0.8732795666907585463133786398,0.3179702698973441567836432612
sc_freestyle_balanced+sc_freestyle_secure,2.75,0.3123179704731203223621388991,0.8453842660476567124987588901,0.3182927030892680344357023786
sc_freestyle_balanced+sc_freestyle_secure,2.875,0.3258382994756918170719666810,1,0.3172475397175640139602699334
sc_freestyle_fast+sc_freestyle_balanced,2.125,0.08497665713962073377619865677,0.8712550725252387042376391964,0.08475566349905746599821826746
sc_freestyle_fast+sc_freestyle_balanced,2.25,0.08514376631255600633836882254,0.8545704087305853350037818393,0.08538214499072579428389948339
sc_freestyle_fast+sc_freestyle_balanced,2.375,0.08428867241454326973819573920,0.8228594630763432437824936513,0.08538095606764880655966366273
