cipher,security,energy,power,duration
sc_chacha20_neon+sc_freestyle_fast,1.625,0.9971275356343045264218712862,1,0.9318529985916402412748219250
sc_chacha20_neon+sc_freestyle_fast,1.75,0.9425877270903945910594454998,0.8278867934759694654664489966,0.9169600779257134476360753208
sc_chacha20_neon+sc_freestyle_fast,1.875,1,0.7338694774053985159366546139,1
sc_chacha8_neon+sc_chacha20_neon,0.75,0.001616825013528174334342359297,0.0005864158942209835623887235033,0.002375707100988784658447146490
sc_chacha8_neon+sc_chacha20_neon,1.0,0,0,0.0004521077219000266119485305319
sc_chacha8_neon+sc_chacha20_neon,1.25,0.03061746826605269719159213531,0.4719779589633582038800296250,0
sc_chacha8_neon+sc_freestyle_fast,0.875,0.9664572943561747498483895700,0.9570823705718635433817344957,0.9110230181636871648159462242
sc_chacha8_neon+sc_freestyle_fast,1.25,0.9450182989197779770972457170,0.8695777765252440867217469492,0.9096147876368516049406578992
sc_chacha8_neon+sc_freestyle_fast,1.625,0.9695198392931478519409168667,0.9639592288841776743466328008,0.9125184789884236573102406586
