cipher,security,energy,power,duration
sc_chacha8_neon,0.5,0.001099931941331767517770559766,0.08846178026467887981815521182,0
sc_freestyle_secure,3.0,1,1,1
sc_chacha20_neon+sc_freestyle_fast,1.625,0.04933461735261457339596075528,0.7815918933291955369083385561,0.03462449769965953943900950506
sc_chacha20_neon+sc_freestyle_fast,1.75,0.04907857575047901374570389292,0.7731261750015967726083018505,0.03483174823452880770872849332
sc_chacha20_neon+sc_freestyle_fast,1.875,0.04936139654314416782829624337,0.7219341124571384672232020966,0.03845469606039435963972173358
sc_chacha8_neon+sc_chacha20_neon,0.75,0,0.0,0.004242598701006074200113612442
sc_chacha8_neon+sc_chacha20_neon,1.0,0.0002350045773322305908585635451,0.004172850261598617627445983206,0.004567359672695070367641908833
sc_chacha8_neon+sc_chacha20_neon,1.25,0.0003100576328373128142847163611,0.01396336821525250667289730208,0.003884257754811666147552209619
sc_chacha8_neon+sc_freestyle_fast,0.875,0.04855494655092365454859075578,0.7727536747466256595599746364,0.03422070201037229507126558595
sc_chacha8_neon+sc_freestyle_fast,1.25,0.04861418246212647389327027129,0.7745618824634544152642895421,0.03418255382511290324568789045
sc_chacha8_neon+sc_freestyle_fast,1.625,0.04756452808883187584737852471,0.7584877243464362270254149536,0.03388515204268096689422105727
